"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 10, 2018","0.005615","0.005646","0.005669","0.005596","140.16M","-0.57%"
"Oct 09, 2018","0.005647","0.005614","0.005674","0.005607","112.63M","0.59%"
"Oct 08, 2018","0.005614","0.005630","0.005698","0.005564","166.14M","-0.28%"
"Oct 07, 2018","0.005630","0.005585","0.005645","0.005567","103.38M","0.88%"
"Oct 06, 2018","0.005581","0.005667","0.005712","0.005471","99.06M","-1.62%"
"Oct 05, 2018","0.005673","0.005663","0.005750","0.005592","168.94M","0.18%"
"Oct 04, 2018","0.005663","0.005730","0.005797","0.005604","118.40M","-1.20%"
"Oct 03, 2018","0.005732","0.005816","0.005853","0.005662","115.78M","-1.44%"
"Oct 02, 2018","0.005816","0.005951","0.006001","0.005811","108.73M","-2.25%"
"Oct 01, 2018","0.005950","0.005917","0.006080","0.005877","116.41M","0.52%"
"Sep 30, 2018","0.005919","0.005895","0.005951","0.005855","132.83M","0.49%"
"Sep 29, 2018","0.005890","0.005876","0.005949","0.005810","89.67M","0.24%"
"Sep 28, 2018","0.005876","0.005895","0.006000","0.005796","105.07M","-0.32%"
"Sep 27, 2018","0.005895","0.005753","0.006000","0.005740","80.31M","2.45%"
